entiteitnummer;haltenummer;omschrijving;omschrijvingLang;gemeentenummer;omschrijvingGemeente;districtCode;geoCoordinaat;halteToegankelijkheden;hoofdHalte;taal;links;latitude;longitude;locatie
2;200007;Hoevestraat;Wondelgem Hoevestraat;-1;Wondelgem;WON;"{""latitude"": 51.092150742261815, ""longitude"": 3.706853573488361}";"MOTORISCH_MET_ASSIST;VISUELE_BEPERKING;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200007""}]";51.092150742261815;3.706853573488361;51.092150742261815,3.706853573488361
2;200011;Kolegemstraat;Wondelgem Kolegemstraat;-1;Wondelgem;WON;"{""latitude"": 51.078670599537396, ""longitude"": 3.7059025158836505}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200011""}]";51.078670599537396;3.7059025158836505;51.078670599537396,3.7059025158836505
2;200017;Nieuwevaartbrug;Gent Nieuwevaartbrug;-1;Gent;GNT;"{""latitude"": 51.063976677936225, ""longitude"": 3.7033286362711246}";"VISUELE_BEPERKING;MOTORISCH_MET_ASSIST;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200017""}]";51.063976677936225;3.7033286362711246;51.063976677936225,3.7033286362711246
2;200019;Rabot;Gent Rabot;-1;Gent;GNT;"{""latitude"": 51.05979994673404, ""longitude"": 3.7119324470656854}";"VISUELE_BEPERKING;MOTORISCH_MET_ASSIST";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200019""}]";51.05979994673404;3.7119324470656854;51.05979994673404,3.7119324470656854
2;200021;Rabotstraat;Gent Rabotstraat;-1;Gent;GNT;"{""latitude"": 51.058166220440654, ""longitude"": 3.7139665874223757}";"MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200021""}]";51.058166220440654;3.7139665874223757;51.058166220440654,3.7139665874223757
2;200022;Burgstraat;Gent Burgstraat;-1;Gent;GNT;"{""latitude"": 51.05621177444959, ""longitude"": 3.7149067681009322}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200022""}]";51.05621177444959;3.7149067681009322;51.05621177444959,3.7149067681009322
2;200023;Gravensteen;Gent Gravensteen;-1;Gent;GNT;"{""latitude"": 51.05675882595477, ""longitude"": 3.7211893886723826}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200023""}]";51.05675882595477;3.7211893886723826;51.05675882595477,3.7211893886723826
2;200027;Verlorenkost;Gent Verlorenkost;-1;Gent;GNT;"{""latitude"": 51.04653347391264, ""longitude"": 3.7220009544035153}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200027""}]";51.04653347391264;3.7220009544035153;51.04653347391264,3.7220009544035153
2;200028;Veergrep;Gent Veergrep;-1;Gent;GNT;"{""latitude"": 51.04375184190731, ""longitude"": 3.721283586667354}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200028""}]";51.04375184190731;3.721283586667354;51.04375184190731,3.721283586667354
2;200037;Zwijnaardsesteenweg;Gent Zwijnaardsesteenweg;-1;Gent;GNT;"{""latitude"": 51.032614367863594, ""longitude"": 3.722977122193731}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200037""}]";51.032614367863594;3.722977122193731;51.032614367863594,3.722977122193731
2;200045;Rozebroekstraat;Gent Rozebroekstraat;-1;Gent;GNT;"{""latitude"": 51.0605040313032, ""longitude"": 3.755900752961904}";"MOTORISCH_MET_ASSIST;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200045""}]";51.0605040313032;3.755900752961904;51.0605040313032,3.755900752961904
2;200047;Sint-Jacobs perron 7;Gent Sint-Jacobs perron 7;-1;Gent;GNT;"{""latitude"": 51.05584001372854, ""longitude"": 3.7274209015023607}";"MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST;VISUELE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200047""}]";51.05584001372854;3.7274209015023607;51.05584001372854,3.7274209015023607
2;200049;Elshout;Drongen Elshout;-1;Drongen;DRO;"{""latitude"": 51.05227060277693, ""longitude"": 3.639157523444552}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200049""}]";51.05227060277693;3.639157523444552;51.05227060277693,3.639157523444552
2;200053;Schooldreef;Gentbrugge Schooldreef;-1;Gentbrugge;GBR;"{""latitude"": 51.032048569504774, ""longitude"": 3.760250240847772}";"VISUELE_BEPERKING;MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200053""}]";51.032048569504774;3.760250240847772;51.032048569504774,3.760250240847772
2;200060;Stelplaats;Gentbrugge Stelplaats;-1;Gentbrugge;GBR;"{""latitude"": 51.03721674559658, ""longitude"": 3.7497608301345635}";"MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST;VISUELE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200060""}]";51.03721674559658;3.7497608301345635;51.03721674559658,3.7497608301345635
2;200065;Zuid perron 1;Gent Zuid perron 1;-1;Gent;GNT;"{""latitude"": 51.048212891891126, ""longitude"": 3.731618208429027}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200065""}]";51.048212891891126;3.731618208429027;51.048212891891126,3.731618208429027
2;200066;Lippensplein;Gent Lippensplein;-1;Gent;GNT;"{""latitude"": 51.050469074750154, ""longitude"": 3.729933171323186}";"MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST;VISUELE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200066""}]";51.050469074750154;3.729933171323186;51.050469074750154,3.729933171323186
2;200069;Zonnestraat;Gent Zonnestraat;-1;Gent;GNT;"{""latitude"": 51.05048556840285, ""longitude"": 3.721418714385094}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200069""}]";51.05048556840285;3.721418714385094;51.05048556840285,3.721418714385094
2;200070;Oude Houtlei;Gent Oude Houtlei;-1;Gent;GNT;"{""latitude"": 51.050055390823815, ""longitude"": 3.7167611230433013}";"MOTORISCHE_BEPERKING;MOTORISCH_MET_ASSIST;VISUELE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200070""}]";51.050055390823815;3.7167611230433013;51.050055390823815,3.7167611230433013
2;200073;Bernard Spaelaan;Gent Bernard Spaelaan;-1;Gent;GNT;"{""latitude"": 51.04787662509771, ""longitude"": 3.709689503557151}";VISUELE_BEPERKING;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200073""}]";51.04787662509771;3.709689503557151;51.04787662509771,3.709689503557151
2;200081;Te Lande;De Pinte Te Lande;-1;De Pinte;DPI;"{""latitude"": 51.00845486432592, ""longitude"": 3.658078094012386}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200081""}]";51.00845486432592;3.658078094012386;51.00845486432592,3.658078094012386
2;200092;Moriaanstraat;Ledeberg Moriaanstraat;-1;Ledeberg;LDB;"{""latitude"": 51.032366387487684, ""longitude"": 3.7453769693959886}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200092""}]";51.032366387487684;3.7453769693959886;51.032366387487684,3.7453769693959886
2;200094;Ledebergplein;Ledeberg Ledebergplein;-1;Ledeberg;LDB;"{""latitude"": 51.0366327352488, ""longitude"": 3.741313879948264}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/200094""}]";51.0366327352488;3.741313879948264;51.0366327352488,3.741313879948264
