Naam;Aanbod;Keuken;Dieet;Take-away opties;Tekstveld;Adres;Postcode;Gemeente;Telefoonnummer;Link;Image name;Image URL;E-mail;Column 15;Column 16;Column 17;Omschrijving voor paasactie;Link;image_path
8tea5 Ghent;"Dranken;Zoet";Belgisch;;;Bubble Tea, (Iced) Coffees en taartjes;Sint-Niklaasstraat 34;9000;Gent;0468113785;http://ghent.8tea5.shop;8tea5-Ghent.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/54b2f77c54a93f50ae95d8c8a8d2e13d;;;;;;http://ghent.8tea5.shop;https://stad.gent/sites/default/files/koop_lokaal/8tea5-Ghent.jpg
Aba-Jour;Brasserie keuken;"Belgisch;Italiaans;Frans";;;Gentse klassiekers zoals stoverij, ballen in tomatensaus, varkenswangetjes, vol-au-vent en waterzooi. Evenals verse pasta en Italiaanse seizoensgerechten.;Oudburg 20;9000;Gent;0486562048;http://www.abajour-gent.com;ABA-JOUR.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e3dd12dc2a354d761c69aa8f071e57d5;;;;;;http://www.abajour-gent.com;https://stad.gent/sites/default/files/koop_lokaal/ABA-JOUR.jpg
Alice Gent;"Ontbijt en brunch;Lunch;Zoet";Belgisch;;;Ontbijtmanden,lunchboxes,quiches en patisserie;Onderbergen 6;9000;Gent;09 277 92 35;http://www.alice-gent.be;Alice-Gent.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/cf4172b739a44d8b8808b4738d8dbe2d;;;;;;http://www.alice-gent.be;https://stad.gent/sites/default/files/koop_lokaal/Alice-Gent.jpg
Alix - Table & Jardin d'Amis;"Ontbijt en brunch;Lunch;Kindvriendelijk";Belgisch;;;Afhaalmenu (voor-, hoofdgerecht en dessert) op vrijdag en zaterdag en een brunchbox op zondag!;Kortrijksesteenweg 206;9000;Gent;093289438;https://alixtablejardin.be/takeaway;Alix-Table&Jardind'Amis.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/f3155ce7823d8bace5dfe7f41eaa3e95;;;;;;https://alixtablejardin.be/takeaway;https://stad.gent/sites/default/files/koop_lokaal/Alix-Table&Jardind'Amis.jpg
Amfora;"Brasserie keuken;Lunch;Zoet;Zomerwedstrijd";Belgisch;;;Huisgemaakte gerechten en drankjes. Van dagverse soep tot stoverij met frietjes. Warme of koude afhaal 5 dagen per week, ook op zondag. Gesloten op woensdag en donderdag.;Korte Kruisstraat 1;9000;Gent;0475286815;https://www.amfora-gent.com/;Amfora.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/c23fd3f1851115692a48926f6e72ffe5;;;;;;https://www.amfora-gent.com/;https://stad.gent/sites/default/files/media/images/AmforaGent.jpg
Amour;"Dranken;Lunch;Ontbijt en brunch;Kindvriendelijk";Belgisch;Vegetarisch;;Lunch - brunch - apero - diner;Sint Salvatorstraat 18A;9000;Gent;09 352 05 70;http://www.amourgent.be/;amour.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d39b80fb1de29419773f2c932ebfb0e4;amour.restaurant9000@gmail.com;;;;;http://www.amourgent.be/;https://stad.gent/sites/default/files/webform/horeca/12712/227943596_888747395045582_5919560687506980788_n.jpg
Anar Persian Cuisine;"Dranken;BBQ en grill;Lunch;Zoet;Zomerwedstrijd";Midden-Oosters;;;Grillades, smaakvolle stoofschotels, ruim aanbod vegetarische gerechten en een mooie selectie Perzische wijnen.;Sluizeken 15;9000;Gent;09 2736353;http://www.anar.be;Anar.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2e8fcd7ff5adefc8d79976fec7ebdf08;;;;;;http://www.anar.be;https://stad.gent/sites/default/files/koop_lokaal/Anar.jpg
Aperto chiuso;Pasta;Italiaans;;;Pasta, Italiaanse keuken;Sleepstraat 82;9000;Gent;0494422373;http://www.apertochiuso.be/afhalen;ApertoChiuso.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/9a47459f0c590055183e6c388cc5c255;;;;;;http://www.apertochiuso.be/afhalen;https://stad.gent/sites/default/files/koop_lokaal/ApertoChiuso.jpg
Babbelut;"Dranken;Gastronomisch;Lunch;Pasta;Kindvriendelijk";Belgisch;Vegetarisch;;Hier staan Gentse gerechten centraal. Alles wordt bereid met biologische groenten en producten van lokale handelaars. Ook de drankenkaart heeft een lokale toets nl. lokaal gebrouwen bieren, plaatselijke jenevers en aperitieven.;Vrijdagmarkt 15;9000;Gent;0498 34 91 88;http://www.babbelutgent.com/;babbelut.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b2c16b03fbc09cf0125bd4ad1e4265d3;babbelutgent@gmail.com;;;;;http://www.babbelutgent.com/;https://stad.gent/sites/default/files/webform/horeca/12631/33_Babbelut_overzicht.JPG
Bar Baudelo;"Brasserie keuken;Kindvriendelijk";Belgisch;Vegetarisch;;Bar Baudelo is de brasserie van het Industriemuseum in Gent.;Minnemeers 10;9000;Gent;0493 09 40 08;barbaudelo.be;barbaudelo.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/374e481b7b2eb76a16d9667be9e88e6d;;;;;;barbaudelo.be;https://stad.gent/sites/default/files/webform/horeca/12727/117951610_130220405428551_3452971557313993452_n.jpg
