Naam;Image URL;Aanbod;tekstveld (250 karakters);Hoe kan je winkelen;Adres;Postcode;Gemeente;Telefoonnummer;Link;E-mail;Column 12;Column 13;Cityzine;Column 15;Omschrijving;Link;image_path
A Taste Affair;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/87891d398736869f21f6b27084e09541;Dranken en voeding;A Taste Affair — Natuurwijnhandel. Hét adres voor natuurwijn in Gent. Natuurlijke, biologische en biodynamische wijn. Familiebedrijf van vader Hugo en dochters Els en Ina. Kom kijken, ruiken en proeven in ons proef.lokaal op do, vr en za.;;Voorhoutkaai 13;9000;Gent;0477847759;http://atasteaffair.com/lets-taste/;els@atasteaffair.com;477847759;;;;;http://atasteaffair.com/lets-taste/;https://stad.gent/sites/default/files/webform/winkels/11219/A_taste_affair_photo%C2%A9Titus_Simoens.png
Anneleen K;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/8d57d36bb003a5e46fcfdf2b606612e5;"Accessoires;Juwelen;Wonen";Unieke combinatie van eigen juwelencollectie en handgemaakte Venetiaanse glasjuwelen, decoratie en maskers van verschillende kunstenaars op Venetië en Murano. Een explosie van kleur én stijl!;;Donkersteeg 27A;9000;Gent;0475902612;https://anneleenk.be/;anneleen@anneleenk.be;475902612;;;;;https://anneleenk.be/;https://stad.gent/sites/default/files/webform/winkels/6825/IMG_2459.jpg
Apotheek Callebaut;;Beauty;Apotheek met huisbereidingen en gespecialiseerd in cosmetica en goed advies;;Clarissenstraat nummer 1;9000;Gent;0922252931;info@apotheekcallebaut.be;info@apotheekcallebaut.be;92252931;;;;;info@apotheekcallebaut.be;
Apotheek Decloedt;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/1b8f8a62e99a1b0a790ef89c0247d9f8;Beauty;Belgische online apotheek.;;St.-Niklaasstraat 42;9000;Gent;092253652;http://dewebapotheker.be;;;;;;;http://dewebapotheker.be;https://communicatie-digitaal.gent.be/kooplokaal/aptheek-decloedt.jpg
Aravinda Rodenburg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/e3c76c8405afed9864823fdbe139f3e7;Kleding;Aravinda Rodenburg is een van de weinige echte kleermakers in ons land: een ‘bespoke tailor’ pur sang. Je vindt er ambachtelijke en op maat gemaakte herenkledij en accessoires.;;Bagattenstraat 137;9000;Gent;0498500875;https://aravindarodenburg.com/;aravindarodenburg@gmail.com;498500875;;;;;https://aravindarodenburg.com/;https://communicatie-digitaal.gent.be/kooplokaal/AravindaRodenburg.jpg
Arpeggio Music;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/55c260f7ebe4e09a106742d9f816f218;"Accessoires;Muziek;film en games";Dé muziekwinkel in Gent voor alle klassieke snaarinstrumenten en (blok)fluiten. Wij verkopen en verhuren instrumenten, zoeken de juiste accessoires en snaren voor jou uit en doen ook alle herstellingen.;;Sint-Michielsstraat 17;9000;Gent;092690920;https://https://www.arpeggiomusic.be/;;;;;;;https://https://www.arpeggiomusic.be/;https://stad.gent/sites/default/files/webform/winkels/6754/Arpeggio-34%20%281%29.jpg
Artikel Nr;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/d98ef8fb479737eafd4f7472937f9f3a;"Koken en tafelen;";"Groot aanbod messen en scharen (keukenmessen, zakmessen, scheermessen, ledermessen, snoeischaren, linnenscharen, nagelscharen,...en toebehoren) 
 Fijnslijperij & eigen ontwerpen.
 Selectie van diverse mooie en degelijke gebruiksartikels";;Keizer Karelstraat 117;9000;Gent;0478209230;http://artikel.xyz/;janna.mark@me.com;478209230;;;;;http://artikel.xyz/;https://stad.gent/sites/default/files/webform/winkels/6854/artikel%20nr.jpg
Auto Product Coppens;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/b4ff8745abcbbfe6d3e34730dc8d8bd2;Fiets en auto;Auo-onderdelen winkel. Alles voor uw wagen voor onderhoud/reiniging/carrosserie/mechanisch/elektrisch/accessoires/DIY/...;;Brusselsestzenweg 11;9050;Ledeberg;092310521;http://www.gramat.be;;;;;;;http://www.gramat.be;https://stad.gent/sites/default/files/webform/winkels/6681/84350267_126402722232124_480231331431710720_n.jpg
Axeswar Design;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/7ca0d0e79365500beed896fb9d3f9a00;"Accessoires;Kinderen;Koken en tafelen;Planten en bloemen;Wonen";Dé trendshop van België vind je in ons eigen Gent! Bij Axeswar Design mogen de design accessoires, cadeautjes en interieurobjecten best wat humor hebben. Wie hier rondsnuistert, keert altijd met iets verrassends én met een brede smile huiswaarts.;;Sint-Pietersnieuwstraat 12;9000;Gent;09/233.42.43;https://www.axeswardesign.be;info@axeswardesign.be;09/233.42.43;;;;;https://www.axeswardesign.be;https://stad.gent/sites/default/files/webform/winkels/6800/team.jpg
Bakkerij jonas;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/e36a9a709b322c433fc17ee98c274b86;Dranken en voeding;Bakkerij Jonas biedt u een ruim assortiment aan huisbereide chocoladeproducten, brood, banket, ... Proef onze chocozoenen die van ver gekend zijn.;;Evergemsesteenweg 62;9032;Wondelgem;092270798;http://www.bakkerij-jonas.be;;;;;;;http://www.bakkerij-jonas.be;https://stad.gent/sites/default/files/webform/winkels/6696/image.jpg
Baravins;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/1f8fa04493492d1f03d064a4d32046f0;"Dranken en voeding;";"WIJN IS VOOR ONS EEN PASSIE
In de rust van ons wijnhuis kan je genieten van nieuwe ontdekkingen per glas (een 100-tal steeds wisselende selecties!) of per fles (een 220-tal referenties), al dan niet aangevuld met een hapje uit onze keuken.";;Steendam 53;9000;Gent;093240085;https://www.baravins.be;ino@baravins.be;93240085;;;;;https://www.baravins.be;https://stad.gent/sites/default/files/webform/winkels/9068/jan%20jeroen%20promo.png
Bazoef;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/bac401eaec0a7923e7b2da608151b338;"Kinderen;Kleding;Speelgoed";Exclusief enkel jongenskleding van 1 jaar tot 16 jaar! Merken zoals Name It, S.Oliver, Jack & Jones junior, Stones & Bones, Maxomorra, ... Prijs kwaliteit zeer goed!;;Zandvoordestraat 60A;9052;Zwijnaarde;0495267534;https://www.bazoef.be;info@bazoef.be;495267534;;;;;https://www.bazoef.be;https://communicatie-digitaal.gent.be/kooplokaal/Bazoef.png
Belevingswinkel De Korf;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/5db00e9681912fb12351b7f12e3697eb;"Beauty;Dranken en voeding;Juwelen;Koken en tafelen";Wij hebben een ruim aanbod artisanale- en streekproducten, Belgische wijnen en bubbels, werken samen met Traindevie (glutenvrije bakkerij )en we zijn vooral bekend om onze geschenk- en ontbijtmanden, reeds 25 jaar!;;Frans Gevaertstraat, 2;9040;Sint-Amandsberg;092515114;http://www.dekorf.be;;;;;;;http://www.dekorf.be;https://stad.gent/sites/default/files/webform/winkels/6742/winkelfoto_0.jpg
Belgrado;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/e6578979b56214a64538510498a364e0;"Accessoires;Kleding";Looking for the perfect boxers? Shop Mc Alson and other luxury underwear, homewear, pyjama's & perfume for men.;;Henegouwenstraat 83;9000;Gent;092330184;http://www.belgradomensboutique.be;belgrado@hotmail.be;92330184;;;;;http://www.belgradomensboutique.be;https://stad.gent/sites/default/files/webform/winkels/6875/AcquadiParma_acquadiparma_holiday_2020_colonias_coffrets_2.jpg
Belle Epoque;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/296670e1ed625df77afd434430b9a853;"Accessoires;Juwelen";"Reeds sinds 1990 is Belle Epoque het juwelenparadijs voor de modebewuste vrouw, waar jong en oud naar ieders budget zijn gading vindt.

Bij Belle Epoque kan je ook terecht voor het schieten van oorgaatjes.";;Ketelpoort 2;9000;Gent;0487204154;https://https://www.juwelen-belleepoque.be;belleepoque@telenet.be;487204154;;;;;https://https://www.juwelen-belleepoque.be;https://stad.gent/sites/default/files/webform/winkels/9079/IMG_6422.JPG
Bietini Design;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/d82adc648bb32f91b09e279204514441;"Accessoires;Koken en tafelen;Wonen";Bietini design is een stijlvolle interieurzaak met tijdloze en hedendaagse meubelen en accessoires van voornamelijk Belgische merken. U kan bij ons terecht voor al uw decoratie artikelen, van cadeautjes tot een volledige interieurinrichting.;;Brabantdam 88;9000;Gent;09 234 31 20;https://bietinidesign.be/;info@bietinidesign.be;09 234 31 20;;;;;https://bietinidesign.be/;https://stad.gent/sites/default/files/webform/winkels/7269/IMG_1785-5.jpg
Bioflask;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/dd5b118da4cb31aa818ee1c902388f3b;"Planten en bloemen;Wonen";"Prachtige zelfvoorzienende ecosystemen die je nooit meer water moet geven. Het ideale kerstcadeau dat jaren meegaat!
 
 Nu beschikbaar in verschillende unieke thema's en formaten. Wij leveren zelfs gratis in Gent!";;Karel de Stoutestraat 29;9000;Gent;0496870252;https://www.bioflask.be/;info@bioflask.be;496870252;;;;;https://www.bioflask.be/;https://stad.gent/sites/default/files/webform/winkels/7028/IMG-20200322-WA0047%20%282%29.jpg
Bizoet;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/ad2fab382f24358401cd532e7ed8145c;"Accessoires;Kinderen;Wonen;";"Houten gegraveerde geschenken voor eender welke gelegenheid?
Doopsuiker & drukwerk?
Kom dan zeker even langs of neem een kijkje in onze webshop! Alles wordt met veel oog voor detail en nog meer liefde binnenshuis ontworpen en vervaardigd!";;Moststraat 4a;9041;Oostakker;093249418;https://www.bizoetiek.be;info@bizoet.be;093249418;;;;;https://www.bizoetiek.be;https://stad.gent/sites/default/files/webform/winkels/9308/KOOP%20LOKAAL%20GENT.png
Bloempjes;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/0b8f73fa86d47ee9a4f540da1da9679d;Planten en bloemen;Winkel in natuurlijke droogbloemen. Kleurrijke boeketten, bloemenkransen en losse droogbloemen.;;Rabotstraat 76;9000;Gent;0484025020;https://www.bloempjes.be;info@bloempjes.be;484025020;;;;;https://www.bloempjes.be;https://stad.gent/sites/default/files/webform/winkels/7922/fr_7032_size880.jpg
Bloemstukje;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/dfb6d8644ce6ec9d551642fd2324662d;"Hobby en DIY;Planten en bloemen;Wonen";Bloemstukje.be is een webshop voor de mooiste bloemstukken en boeketten en leuke geschenken die gratis aan huis worden geleverd in Gent en omstreken door onze eigen leveringsdienst. Steeds met de meeste zorg en de glimlach (achter het mondmaskertje).;;Haagstuk 39;9032;Wondelgem;0477984941;https://www.bloemstukje.be/webwinkel-1/;dieter@rt-factory.com;477984941;;;;;https://www.bloemstukje.be/webwinkel-1/;https://communicatie-digitaal.gent.be/kooplokaal/Bloemstukje.JPG
Bluet;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/c8a57329f0fd066e536ac032b00efc4f;"Accessoires;Planten en bloemen;Wonen";"Bluet biedt een ruim aanbod van ecologisch en duurzaam geteelte bloemen en planten, fairtrade exoten, glaswerk, potten en decoratiemateriaal. Indien gewenst tot bij u thuis geleverd.
 Neem zeker eens een kijkje op onze webshop www.bluetaanhuis.be";;Sint-Baafsplein 11;9000;Gent;092230222;https://www.bluetaanhuis.be/;info@bluet.be;09/223.02.22;;ja;;;https://www.bluetaanhuis.be/;https://stad.gent/sites/default/files/webform/winkels/6836/omslagfoto.jpg
BONAMI;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/ed5aa5c202357799b90cca5281320c27;Dranken en voeding;De zoete toets voor alle bijzondere momenten in je leven. Geboortes, huwelijken, communies, lentefeesten, verjaardagen of gewoon voor je alledaagse crush. Alles wordt afgewerkt tot in het kleinste detail, helemaal naar jouw wens.;;Sint-Lievenspoortstraat, 44;9000;Gent;092230963;https://www.bonamidoopsuiker.be;info@bonamidoopsuiker.be;092230963;;;;;https://www.bonamidoopsuiker.be;https://stad.gent/sites/default/files/webform/winkels/10068/bonami-2.jpg
Bubble & Dive;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/2be5f4185e9c2c94a57d7d5a1bb01204;Sport;Bubble & Dive is een full service duikcentrum voor duik- en snorkeluitrusting, luchtvullingen, uitrustingsservice en duiklessen. Aandacht voor veiligheid en hoge kwaliteit maakt ons het enige PADI 5-star Instructor Development Center in de regio.;;Brusselsesteenweg 724;9050;Gentbrugge;093248265;https://www.bubbleanddive.com/webshop/;info@bubbleanddive.com;93248265;;;;;https://www.bubbleanddive.com/webshop/;https://communicatie-digitaal.gent.be/kooplokaal/BubbleDive.jpg
Bubbles at Home;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/d0867d27e6a4562b2cdc183e7169f701;Beauty;Eenvoud kan bijzonder krachtig zijn. Bubbles at Home laat met haar zuivere huidverzorgingsproducten de natuur voor zichzelf spreken en creëert positieve belevingen waardoor de moderne mens (weer) dichter bij de natuur en zichzelf komt te staan.;;Kleine Vismarkt 4;9000;Gent;050615271;https://bubblesathome.be/nl;elien@bubblesathome.be;478528003;;ja;;;https://bubblesathome.be/nl;https://stad.gent/sites/default/files/webform/winkels/6798/IMG_6432.JPG
Bygone;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/2f9aef0c1b8703f54b5c8bcbc1e9a9d4;"Accessoires;Kleding";Ecowear, retrowear, jurkjes, t-shirts, hemden, sweaters.;;Sint-Niklaasstraat 12;9000;Gent;0475968808;https://www.laluna.be;cindy.sunny@telenet.be;475968808;;;;;https://www.laluna.be;https://stad.gent/sites/default/files/webform/winkels/9066/IMG_7112%20%281%29.png
cacaOh! Artisanale Chocolade;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/c9d8656bebd7631aa2379aa0bfd3e0b9;Dranken en voeding;Artisanale chocolade gemaakt in ons atelier in Drongen. Authentiek, puur en origineel! Verwen uzelf of iemand anders met een uniek geschenk.;;Booiebos 6d;;Drongen;092279111;http://www.cacaoh.be/;info@cacaoh.be;92279111;;;;;http://www.cacaoh.be/;https://stad.gent/sites/default/files/webform/winkels/7540/405A3650-4AFF-43B9-A7D9-7FE0042EF3DB.png
CARGO licht&zinnig;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/fb26b4ed788404be529f162fd872e85d;Wonen;Lichtwinkel met persoonlijke benadering. Gratis lichtadvies en naast alle designmerken vooral maatwerk van een 5-tal ontwerpers.;;Sportstraat 185;9000;Gent;0486575790;http://www.cargo-art.be;;;;;;;http://www.cargo-art.be;https://stad.gent/sites/default/files/webform/winkels/6680/0ADEAC8E-B9F0-4799-BC5E-22D13C3824F5.jpg
