Geometry;gentid;naam;historiek;straat;huisnr;postcode;gemeente;jaargang;soort;globalid;geo_point_2d
"{""coordinates"": [3.731693685802412, 51.04964755331317], ""type"": ""Point""}";FILM01;ABC;ABC / ABCD;Brabantdam;106;9000;Gent;1970-2015;WIJK;b58b167a-dc38-4d95-9b42-4bb8ed2151a3;51.0496475533,3.7316936858
"{""coordinates"": [3.727449754244416, 51.04056324757228], ""type"": ""Point""}";FILM07;Aurora;Aurora;Voetweg;64;9000;Gent;1915;WIJK;dd6bfe8b-3fac-4b11-8f2b-b1ecbcc67f2b;51.0405632476,3.72744975424
"{""coordinates"": [3.753485605462791, 51.028161549007166], ""type"": ""Point""}";FILM10;Casino;Casino;Gontrodestraat;0;9000;Gent;1914-1961;WIJK;c11a02de-dbbd-41e7-8389-e05e1f9c71b9;51.028161549,3.75348560546
"{""coordinates"": [3.730311248648773, 51.048355418612026], ""type"": ""Point""}";FILM11;Century;Oud Gend / Century;Woodrow Wilsonplein;7;9000;Gent;1911-1985;CENTRUM;e95d9eb1-6a14-48cd-aea9-afa8db657e80;51.0483554186,3.73031124865
"{""coordinates"": [3.708939936374101, 51.05720441431437], ""type"": ""Point""}";FILM12;City;Pathé II / Nord / City;Noordstraat;16;9000;Gent;1911-1963;WIJK;73cc3623-e10c-4335-a875-38b4000ab9b5;51.0572044143,3.70893993637
"{""coordinates"": [3.745369999708932, 51.05836956168283], ""type"": ""Point""}";FILM14;Concordia;Concordia / Lux / Universal;Reginald Warnefortstraat;26;9040;Sint-Amandsberg;1912-jaren 1930;WIJK;674f19ea-c142-4bd4-8005-ddd0ffde122f;51.0583695617,3.74536999971
"{""coordinates"": [3.721402951521878, 51.051822921881694], ""type"": ""Point""}";FILM18;Eldorado;Actual / Cinéac / Eldorado;Veldstraat;74;9000;Gent;1935-1966;CENTRUM;1d9878cd-98d0-447b-b95c-1311330434e4;51.0518229219,3.72140295152
"{""coordinates"": [3.710466412993668, 51.07211686110473], ""type"": ""Point""}";FILM21;Forum;Forum;Frans van Ryhovenlaan;202;9000;Gent;1931-1965;WIJK;db11013f-6cde-4060-b664-beba0647a783;51.0721168611,3.71046641299
"{""coordinates"": [3.699365712737182, 51.06233116590507], ""type"": ""Point""}";FILM22;Ganda;Odeon / Ganda;Bevrijdingslaan;150;9000;Gent;1919-1974;WIJK;7040b2bd-674a-43c4-a055-87642a5edb4d;51.0623311659,3.69936571274
"{""coordinates"": [3.710211644490884, 51.061408343825526], ""type"": ""Point""}";FILM25;Ideal;Ideal;Wondelgemstraat;39;9000;Gent;1910-1981;WIJK;46845e2a-b2d1-4aaa-a697-453d618040f5;51.0614083438,3.71021164449
