Geometry;parking;naam;url;type;parkingregime;straatnaam;huisnr;eigenaar;capaciteit;urid;dashboard;geo_point_2d
"{""coordinates"": [3.723184835346397, 51.048885717674146], ""type"": ""Point""}";P4;Savaanstraat;https://stad.gent/node/36391;Parking;;Savaanstraat;13;;588;mob/parking1066;False;51.0488857177,3.72318483535
"{""coordinates"": [3.725948412486469, 51.042098719825724], ""type"": ""Point""}";P10;Sint-Pietersplein;https://stad.gent/node/36394;Parking;;Sint-Pietersplein;65;;708;mob/parking1070;False;51.0420987198,3.72594841249
"{""coordinates"": [3.756416392314891, 51.03509572694302], ""type"": ""Point""}";P+R;Gentbrugge;https://stad.gent/node/34591;Park and Ride;Tijdelijk buiten gebruik;Land van Rodelaan;;;0;mob/parking1072;False;51.0350957269,3.75641639231
"{""coordinates"": [3.678370760430587, 51.07623931001073], ""type"": ""Point""}";P+R;Mariakerke Post;https://stad.gent/node/34598;Park and Ride;;Brugsesteenweg;;;25;mob/parking1075;False;51.07623931,3.67837076043
"{""coordinates"": [3.704960084356771, 51.08709035177393], ""type"": ""Point""}";P+R;Neptunus;https://stad.gent/node/36642/;Park and Ride;;;;;148;mob/parking1084;False;51.0870903518,3.70496008436
"{""coordinates"": [3.758366365302132, 51.032548069111996], ""type"": ""Point""}";P+R;Gentbrugge Arsenaal;https://stad.gent/node/34592;Park and Ride;;Brusselsesteenweg;;;280;mob/parking1085;False;51.0325480691,3.7583663653
"{""coordinates"": [3.721949112841575, 51.07378794870811], ""type"": ""Point""}";P+R;Galveston;https://stad.gent/node/36649;Park and Ride;;Hurstweg;;;364;mob/parking1086;True;51.0737879487,3.72194911284
"{""coordinates"": [3.743024487722283, 51.073620821102026], ""type"": ""Point""}";P+R;Weba/Decathlon;https://stad.gent/node/36643/;Park and Ride;;Vliegtuiglaan;;;200;mob/parking1087;True;51.0736208211,3.74302448772
"{""coordinates"": [3.710099525760284, 51.002945307088034], ""type"": ""Point""}";P+R;Hekers;https://stad.gent/node/36637;Park and Ride;;Ter Linden;;;68;mob/parking1088;False;51.0029453071,3.71009952576
"{""coordinates"": [3.734878025736722, 51.07357634394743], ""type"": ""Point""}";P+R;Muide;https://stad.gent/node/36629/;Park and Ride;;Pauwstraat;;;90;mob/parking1089;False;51.0735763439,3.73487802574
"{""coordinates"": [3.730639414900134, 51.05199124573097], ""type"": ""Point""}";P2;Reep;https://stad.gent/node/36389;Parking;;Seminariestraat;9;;488;mob/parking1064;False;51.0519912457,3.7306394149
"{""coordinates"": [3.730719364960441, 51.0476066943677], ""type"": ""Point""}";P3;Zuid;http://prod.interparking.be/nl-BE/find-parking/Gent%20Zuid/;Parking;;Zuidparklaan;;;1043;mob/parking1065;False;51.0476066944,3.73071936496
"{""coordinates"": [3.723697324215994, 51.05013076617669], ""type"": ""Point""}";P5;Kouter;http://prod.interparking.be/nl-BE/find-parking/Kouter/;Parking;;Kouter;31;;425;mob/parking1067;False;51.0501307662,3.72369732422
"{""coordinates"": [3.722362158209217, 51.050985627017674], ""type"": ""Point""}";P6;Center parking;http://prod.interparking.be/nl-BE/find-parking/Center%20parking/;Parking;;Korte Meer;22b;;532;mob/parking1071;False;51.050985627,3.72236215821
"{""coordinates"": [3.777267188374602, 51.07399040879896], ""type"": ""Point""}";P+R;Oostakker;https://stad.gent/node/34600;Park and Ride;;Antwerpsesteenweg;;;199;mob/parking1077;False;51.0739904088,3.77726718837
"{""coordinates"": [3.705016768051186, 51.0368610070521], ""type"": ""Point""}";P;Gent Sint-Pieters;https://www.belgiantrain.be/nl/station-information/car-or-bike-at-station/b-parking/my-b-parking/gentstpieters;Parking;;Sint-Denijslaan;244;;1566;mob/parking1081;False;51.0368610071,3.70501676805
"{""coordinates"": [3.685374655206298, 51.04997925233368], ""type"": ""Point""}";P+R;Watersportbaan;https://stad.gent/node/36640;Park and Ride;;Zuiderlaan;;;230;mob/parking1083;True;51.0499792523,3.68537465521
"{""coordinates"": [3.705105162275175, 51.03709978073731], ""type"": ""Point""}";P+Rt;Sint-Pietersstation;https://stad.gent/node/36651;Park and Ride toekomst;;;;;;mob/parking1092;False;51.0370997807,3.70510516228
"{""coordinates"": [3.732504856419138, 51.06671133583391], ""type"": ""Point""}";P;Dok Noord;https://be.parkindigo.com/nl/car-park/parking-dok-noord;Parking;;Dok Noord;7;;711;mob/parking1093;False;51.0667113358,3.73250485642
"{""coordinates"": [3.705174602046608, 51.03725709842624], ""type"": ""Point""}";P+R;Sint-Pietersstation;https://stad.gent/nl/mobiliteit-openbare-werken/parkeren/park-and-ride-pr/pr-sint-pietersstation;Park and Ride;;;;;300;mob/parking1094;False;51.0372570984,3.70517460205
"{""coordinates"": [3.72563858354499, 51.0569856983974], ""type"": ""Point""}";P1;Vrijdagmarkt;https://stad.gent/node/36383;Parking;;Vrijdagmarkt;1;;648;mob/parking1063;False;51.0569856984,3.72563858354
"{""coordinates"": [3.718468320778665, 51.05353763553864], ""type"": ""Point""}";P7;Sint-Michiels;https://stad.gent/node/36392;Parking;;Sint-Michielsplein;8;;472;mob/parking1068;False;51.0535376355,3.71846832078
"{""coordinates"": [3.716394739608348, 51.05535444347502], ""type"": ""Point""}";P8;Ramen;https://stad.gent/node/36393;Parking;;Ramen;23;;280;mob/parking1069;False;51.0553544435,3.71639473961
"{""coordinates"": [3.711386272573242, 51.09850196356086], ""type"": ""Point""}";P+R;Wondelgem;https://stad.gent/node/34599;Park and Ride;;Liefkensstraat;;;62;mob/parking1073;False;51.0985019636,3.71138627257
"{""coordinates"": [3.695192522609479, 51.02448319697593], ""type"": ""Point""}";P+R;The Loop/Expo;https://stad.gent/node/34587;Park and Ride;;;;;168;mob/parking1076;False;51.024483197,3.69519252261
"{""coordinates"": [3.750785931777076, 51.02941796070322], ""type"": ""Point""}";P+R;Moscou;https://stad.gent/node/34596;Park and Ride;;Jozef Vervaenestraat;;;16;mob/parking1078;False;51.0294179607,3.75078593178
"{""coordinates"": [3.725584415133347, 51.06436374110571], ""type"": ""Point""}";P;Tolhuis;https://stad.gent/node/36395;Parking;;Berouw;;;165;mob/parking1079;False;51.0643637411,3.72558441513
"{""coordinates"": [3.739557080557125, 51.05609272190261], ""type"": ""Point""}";P;Dampoort;https://www.belgiantrain.be/nl/station-information/car-or-bike-at-station/b-parking/my-b-parking/gent-dampoort;Parking;;Oktrooiplein;;;302;mob/parking1080;False;51.0560927219,3.73955708056
"{""coordinates"": [3.681757948040909, 51.06740489363976], ""type"": ""Point""}";P+R;Bourgoyen;https://stad.gent/node/36641;Park and Ride;;Driepikkelstraat;;;264;mob/parking1082;False;51.0674048936,3.68175794804
